reference,country_name,hdi_category,indicator_name,values
,Bolivia,MEDIUM HUMAN DEVELOPMENT,HDI rank,117
,Guatemala,MEDIUM HUMAN DEVELOPMENT,HDI rank,118
,Gabon,MEDIUM HUMAN DEVELOPMENT,HDI rank,119
,Vanuatu,MEDIUM HUMAN DEVELOPMENT,HDI rank,120
,South Africa,MEDIUM HUMAN DEVELOPMENT,HDI rank,121
,Tajikistan,MEDIUM HUMAN DEVELOPMENT,HDI rank,122
,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,HDI rank,123
,Botswana,MEDIUM HUMAN DEVELOPMENT,HDI rank,124
,Namibia,MEDIUM HUMAN DEVELOPMENT,HDI rank,125
,Morocco,MEDIUM HUMAN DEVELOPMENT,HDI rank,126
,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,HDI rank,127
,India,MEDIUM HUMAN DEVELOPMENT,HDI rank,128
,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,HDI rank,129
,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,HDI rank,130
,Cambodia,MEDIUM HUMAN DEVELOPMENT,HDI rank,131
,Myanmar,MEDIUM HUMAN DEVELOPMENT,HDI rank,132
,Bhutan,MEDIUM HUMAN DEVELOPMENT,HDI rank,133
,Comoros,MEDIUM HUMAN DEVELOPMENT,HDI rank,134
,Ghana,MEDIUM HUMAN DEVELOPMENT,HDI rank,135
,Pakistan,MEDIUM HUMAN DEVELOPMENT,HDI rank,136
,Mauritania,MEDIUM HUMAN DEVELOPMENT,HDI rank,137
,Lesotho,MEDIUM HUMAN DEVELOPMENT,HDI rank,138
,Congo,MEDIUM HUMAN DEVELOPMENT,HDI rank,139
,Bangladesh,MEDIUM HUMAN DEVELOPMENT,HDI rank,140
,Swaziland,MEDIUM HUMAN DEVELOPMENT,HDI rank,141
,Nepal,MEDIUM HUMAN DEVELOPMENT,HDI rank,142
,Madagascar,MEDIUM HUMAN DEVELOPMENT,HDI rank,143
,Cameroon,MEDIUM HUMAN DEVELOPMENT,HDI rank,144
,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,HDI rank,145
,Haiti,MEDIUM HUMAN DEVELOPMENT,HDI rank,146
,Sudan,MEDIUM HUMAN DEVELOPMENT,HDI rank,147
,Kenya,MEDIUM HUMAN DEVELOPMENT,HDI rank,148
,Djibouti,MEDIUM HUMAN DEVELOPMENT,HDI rank,149
,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,HDI rank,150
,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,HDI rank,151
,Togo,MEDIUM HUMAN DEVELOPMENT,HDI rank,152
,Yemen,MEDIUM HUMAN DEVELOPMENT,HDI rank,153
,Uganda,MEDIUM HUMAN DEVELOPMENT,HDI rank,154
,Gambia,MEDIUM HUMAN DEVELOPMENT,HDI rank,155
,Senegal,LOW HUMAN DEVELOPMENT,HDI rank,156
,Eritrea,LOW HUMAN DEVELOPMENT,HDI rank,157
,Nigeria,LOW HUMAN DEVELOPMENT,HDI rank,158
,Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,HDI rank,159
,Guinea,LOW HUMAN DEVELOPMENT,HDI rank,160
,Rwanda,LOW HUMAN DEVELOPMENT,HDI rank,161
,Angola,LOW HUMAN DEVELOPMENT,HDI rank,162
,Benin,LOW HUMAN DEVELOPMENT,HDI rank,163
,Malawi,LOW HUMAN DEVELOPMENT,HDI rank,164
,Zambia,LOW HUMAN DEVELOPMENT,HDI rank,165
,Côte d'Ivoire,,HDI rank,166
,Burundi,,HDI rank,167
,Congo (Democratic Republic of the),,HDI rank,168
,Ethiopia,,HDI rank,169
,Chad,,HDI rank,170
,Central African Republic,,HDI rank,171
,Mozambique,,HDI rank,172
,Mali,,HDI rank,173
,Niger,,HDI rank,174
,Guinea-Bissau,,HDI rank,175
,Burkina Faso,,HDI rank,176
,Sierra Leone,,HDI rank,177
,Iceland,HIGH HUMAN DEVELOPMENT,Survey year,..
,Norway,HIGH HUMAN DEVELOPMENT,Survey year,2000
,Australia,HIGH HUMAN DEVELOPMENT,Survey year,1994
,Canada,HIGH HUMAN DEVELOPMENT,Survey year,2000
,Ireland,HIGH HUMAN DEVELOPMENT,Survey year,2000
,Sweden,HIGH HUMAN DEVELOPMENT,Survey year,2000
,Switzerland,HIGH HUMAN DEVELOPMENT,Survey year,2000
,Japan,HIGH HUMAN DEVELOPMENT,Survey year,1993
,Netherlands,HIGH HUMAN DEVELOPMENT,Survey year,1999
,France,HIGH HUMAN DEVELOPMENT,Survey year,1995
,Finland,HIGH HUMAN DEVELOPMENT,Survey year,2000
,United States,HIGH HUMAN DEVELOPMENT,Survey year,2000
,Spain,HIGH HUMAN DEVELOPMENT,Survey year,2000
,Denmark,HIGH HUMAN DEVELOPMENT,Survey year,1997
,Austria,HIGH HUMAN DEVELOPMENT,Survey year,2000
,United Kingdom,HIGH HUMAN DEVELOPMENT,Survey year,1999
,Belgium,HIGH HUMAN DEVELOPMENT,Survey year,2000
,Luxembourg,HIGH HUMAN DEVELOPMENT,Survey year,..
,New Zealand,HIGH HUMAN DEVELOPMENT,Survey year,1997
,Italy,HIGH HUMAN DEVELOPMENT,Survey year,2000
,"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,Survey year,1996
,Germany,HIGH HUMAN DEVELOPMENT,Survey year,2000
,Israel,HIGH HUMAN DEVELOPMENT,Survey year,2001
,Greece,HIGH HUMAN DEVELOPMENT,Survey year,2000
,Singapore,HIGH HUMAN DEVELOPMENT,Survey year,1998
,Korea (Republic of),HIGH HUMAN DEVELOPMENT,Survey year,1998
,Slovenia,HIGH HUMAN DEVELOPMENT,Survey year,1998
,Cyprus,HIGH HUMAN DEVELOPMENT,Survey year,..
,Portugal,HIGH HUMAN DEVELOPMENT,Survey year,1997
,Brunei Darussalam,HIGH HUMAN DEVELOPMENT,Survey year,..
,Barbados,HIGH HUMAN DEVELOPMENT,Survey year,..
,Czech Republic,HIGH HUMAN DEVELOPMENT,Survey year,1996
,Kuwait,HIGH HUMAN DEVELOPMENT,Survey year,..
,Malta,HIGH HUMAN DEVELOPMENT,Survey year,..
,Qatar,HIGH HUMAN DEVELOPMENT,Survey year,..
,Hungary,HIGH HUMAN DEVELOPMENT,Survey year,2002
,Poland,HIGH HUMAN DEVELOPMENT,Survey year,2002
,Argentina,HIGH HUMAN DEVELOPMENT,Survey year,2004
,United Arab Emirates,HIGH HUMAN DEVELOPMENT,Survey year,..
,Chile,HIGH HUMAN DEVELOPMENT,Survey year,2003
,Bahrain,HIGH HUMAN DEVELOPMENT,Survey year,..
,Slovakia,HIGH HUMAN DEVELOPMENT,Survey year,1996
,Lithuania,HIGH HUMAN DEVELOPMENT,Survey year,2003
,Estonia,HIGH HUMAN DEVELOPMENT,Survey year,2003
,Latvia,HIGH HUMAN DEVELOPMENT,Survey year,2003
,Uruguay,HIGH HUMAN DEVELOPMENT,Survey year,2003
,Croatia,HIGH HUMAN DEVELOPMENT,Survey year,2001
,Costa Rica,HIGH HUMAN DEVELOPMENT,Survey year,2003
,Bahamas,HIGH HUMAN DEVELOPMENT,Survey year,..
,Seychelles,HIGH HUMAN DEVELOPMENT,Survey year,..
,Cuba,HIGH HUMAN DEVELOPMENT,Survey year,..
,Mexico,HIGH HUMAN DEVELOPMENT,Survey year,2004
,Bulgaria,HIGH HUMAN DEVELOPMENT,Survey year,2003
,Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,Survey year,..
,Tonga,HIGH HUMAN DEVELOPMENT,Survey year,..
,Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,Survey year,..
,Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,Survey year,..
,Oman,HIGH HUMAN DEVELOPMENT,Survey year,..
,Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,Survey year,1992
,Romania,HIGH HUMAN DEVELOPMENT,Survey year,2003
,Saudi Arabia,HIGH HUMAN DEVELOPMENT,Survey year,..
,Panama,HIGH HUMAN DEVELOPMENT,Survey year,2003
,Malaysia,HIGH HUMAN DEVELOPMENT,Survey year,1997
,Belarus,HIGH HUMAN DEVELOPMENT,Survey year,2002
,Mauritius,HIGH HUMAN DEVELOPMENT,Survey year,..
,Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,Survey year,2001
,Russian Federation,HIGH HUMAN DEVELOPMENT,Survey year,2002
,Albania,HIGH HUMAN DEVELOPMENT,Survey year,2004
,Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,Survey year,2003
,Brazil,HIGH HUMAN DEVELOPMENT,Survey year,2004
,Dominica,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Saint Lucia,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Kazakhstan,MEDIUM HUMAN DEVELOPMENT,Survey year,2003
,Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,Survey year,2003
,Colombia,MEDIUM HUMAN DEVELOPMENT,Survey year,2003
,Ukraine,MEDIUM HUMAN DEVELOPMENT,Survey year,2003
,Samoa,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Thailand,MEDIUM HUMAN DEVELOPMENT,Survey year,2002
,Dominican Republic,MEDIUM HUMAN DEVELOPMENT,Survey year,2004
,Belize,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,China,MEDIUM HUMAN DEVELOPMENT,Survey year,2004
,Grenada,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Armenia,MEDIUM HUMAN DEVELOPMENT,Survey year,2003
,Turkey,MEDIUM HUMAN DEVELOPMENT,Survey year,2003
,Suriname,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Jordan,MEDIUM HUMAN DEVELOPMENT,Survey year,2002-03 
,Peru,MEDIUM HUMAN DEVELOPMENT,Survey year,2003
,Lebanon,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Ecuador,MEDIUM HUMAN DEVELOPMENT,Survey year,1998
,Philippines,MEDIUM HUMAN DEVELOPMENT,Survey year,2003
,Tunisia,MEDIUM HUMAN DEVELOPMENT,Survey year,2000
,Fiji,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,Survey year,1998
,Paraguay,MEDIUM HUMAN DEVELOPMENT,Survey year,2003
,Georgia,MEDIUM HUMAN DEVELOPMENT,Survey year,2003
,Guyana,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Azerbaijan,MEDIUM HUMAN DEVELOPMENT,Survey year,2001
,Sri Lanka,MEDIUM HUMAN DEVELOPMENT,Survey year,2002
,Maldives,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Jamaica,MEDIUM HUMAN DEVELOPMENT,Survey year,2004
,Cape Verde,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,El Salvador,MEDIUM HUMAN DEVELOPMENT,Survey year,2002
,Algeria,MEDIUM HUMAN DEVELOPMENT,Survey year,1995
,Viet Nam,MEDIUM HUMAN DEVELOPMENT,Survey year,2004
,Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Indonesia,MEDIUM HUMAN DEVELOPMENT,Survey year,2002
,Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Turkmenistan,MEDIUM HUMAN DEVELOPMENT,Survey year,1998
,Nicaragua,MEDIUM HUMAN DEVELOPMENT,Survey year,2001
,Moldova,MEDIUM HUMAN DEVELOPMENT,Survey year,2003
,Egypt,MEDIUM HUMAN DEVELOPMENT,Survey year,1999-00  
,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,Survey year,2003
,Mongolia,MEDIUM HUMAN DEVELOPMENT,Survey year,2002
,Honduras,MEDIUM HUMAN DEVELOPMENT,Survey year,2003
,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,Survey year,2003
,Bolivia,MEDIUM HUMAN DEVELOPMENT,Survey year,2002
,Guatemala,MEDIUM HUMAN DEVELOPMENT,Survey year,2002
,Gabon,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Vanuatu,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,South Africa,MEDIUM HUMAN DEVELOPMENT,Survey year,2000
,Tajikistan,MEDIUM HUMAN DEVELOPMENT,Survey year,2003
,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Botswana,MEDIUM HUMAN DEVELOPMENT,Survey year,1993
,Namibia,MEDIUM HUMAN DEVELOPMENT,Survey year,1993
,Morocco,MEDIUM HUMAN DEVELOPMENT,Survey year,1998-99  
,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,India,MEDIUM HUMAN DEVELOPMENT,Survey year,2004-05
,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,Survey year,2002
,Cambodia,MEDIUM HUMAN DEVELOPMENT,Survey year,2004
,Myanmar,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Bhutan,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Comoros,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Ghana,MEDIUM HUMAN DEVELOPMENT,Survey year,1998-99 
,Pakistan,MEDIUM HUMAN DEVELOPMENT,Survey year,2002
,Mauritania,MEDIUM HUMAN DEVELOPMENT,Survey year,2000
,Lesotho,MEDIUM HUMAN DEVELOPMENT,Survey year,1995
,Congo,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Bangladesh,MEDIUM HUMAN DEVELOPMENT,Survey year,2000
,Swaziland,MEDIUM HUMAN DEVELOPMENT,Survey year,2000-01 
,Nepal,MEDIUM HUMAN DEVELOPMENT,Survey year,2003-04  
,Madagascar,MEDIUM HUMAN DEVELOPMENT,Survey year,2001
,Cameroon,MEDIUM HUMAN DEVELOPMENT,Survey year,2001
,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,Survey year,1996
,Haiti,MEDIUM HUMAN DEVELOPMENT,Survey year,2001
,Sudan,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Kenya,MEDIUM HUMAN DEVELOPMENT,Survey year,1997
,Djibouti,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,Survey year,1995-96
,Togo,MEDIUM HUMAN DEVELOPMENT,Survey year,..
,Yemen,MEDIUM HUMAN DEVELOPMENT,Survey year,1998
,Uganda,MEDIUM HUMAN DEVELOPMENT,Survey year,2002
,Gambia,MEDIUM HUMAN DEVELOPMENT,Survey year,1998
,Senegal,LOW HUMAN DEVELOPMENT,Survey year,2001
,Eritrea,LOW HUMAN DEVELOPMENT,Survey year,..
,Nigeria,LOW HUMAN DEVELOPMENT,Survey year,2003
,Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,Survey year,2000-01
,Guinea,LOW HUMAN DEVELOPMENT,Survey year,2003
,Rwanda,LOW HUMAN DEVELOPMENT,Survey year,2000
,Angola,LOW HUMAN DEVELOPMENT,Survey year,..
,Benin,LOW HUMAN DEVELOPMENT,Survey year,2003
,Malawi,LOW HUMAN DEVELOPMENT,Survey year,2004-05 
,Zambia,LOW HUMAN DEVELOPMENT,Survey year,2004
,Côte d'Ivoire,,Survey year,2002
,Burundi,,Survey year,1998
,Congo (Democratic Republic of the),,Survey year,..
,Ethiopia,,Survey year,1999-00 
,Chad,,Survey year,..
,Central African Republic,,Survey year,1993
,Mozambique,,Survey year,2002-03  
,Mali,,Survey year,2001
,Niger,,Survey year,1995
,Guinea-Bissau,,Survey year,1993
,Burkina Faso,,Survey year,2003
,Sierra Leone,,Survey year,1989
,Iceland,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Norway,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.9
,Australia,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.0
,Canada,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.6
,Ireland,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.9
,Sweden,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.6
,Switzerland,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.9
,Japan,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,4.8
,Netherlands,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.5
,France,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.8
,Finland,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,4.0
,United States,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.9
,Spain,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.6
,Denmark,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.6
,Austria,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.3
,United Kingdom,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.1
,Belgium,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.4
,Luxembourg,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,New Zealand,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.2
,Italy,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.3
,"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.0
,Germany,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.2
,Israel,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.1
,Greece,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.5
,Singapore,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.9
,Korea (Republic of),HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.9
,Slovenia,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.6
,Cyprus,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Portugal,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.0
,Brunei Darussalam,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Barbados,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Czech Republic,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,4.3
,Kuwait,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Malta,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Qatar,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Hungary,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,4.0
,Poland,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.1
,Argentina,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,0.9
,United Arab Emirates,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Chile,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.4
,Bahrain,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Slovakia,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.1
